#tau=1.00000e+00
#theta=2.50000e-01
#space_dim=1
#poly_deg=3
i,ts,err,alpha
0002,4000,1.48357e-03,-inf
0004,4000,1.62719e-02,-3.45523e+00
0008,4000,1.19874e-03,+3.76279e+00
0016,4000,6.91625e-05,+4.11538e+00
0032,4000,3.80198e-06,+4.18517e+00
0064,4000,1.27815e-07,+4.89463e+00
0128,4000,9.14974e-09,+3.80418e+00
0256,4000,1.02938e-09,+3.15195e+00
0512,4000,6.40676e-11,+4.00604e+00
1024,4000,1.15088e-12,+5.79879e+00
2048,4000,1.87336e-12,-7.02897e-01
0256,0002,1.88495e+00,-inf
0256,0004,1.65546e+00,+1.87292e-01
0256,0008,5.76509e-02,+4.84375e+00
0256,0016,3.51679e-03,+4.03501e+00
0256,0032,2.14058e-04,+4.03819e+00
0256,0064,1.30944e-05,+4.03097e+00
0256,0128,8.07734e-07,+4.01893e+00
0256,0256,5.01332e-08,+4.01004e+00
0256,0512,3.28703e-09,+3.93091e+00
0256,1024,1.04733e-09,+1.65007e+00
0256,2048,1.02915e-09,+2.52593e-02
